id,prodName,prodCatid,prodCat,prodPcatid,prodPcat,lowPrice,highPrice,avgPrice,place,specInfo,unitInfo,pubDate,status,userIdCreate,userIdModified,userCreate,userModified,gmtCreate,gmtModified
1218617,鱿鱼,1190,水产,1210,海水鱼,18.0,20.0,19.0,,去头,斤,2021-12-14 00:00:00,,138,,admin,,,
1218716,牛排骨,1189,肉禽蛋,1206,牛肉类,30.0,30.0,30.0,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218715,牛板筋,1189,肉禽蛋,1206,牛肉类,34.0,35.0,34.5,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218714,牛尾,1189,肉禽蛋,1206,牛肉类,32.0,32.0,32.0,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218713,牛上脑,1189,肉禽蛋,1206,牛肉类,34.0,34.0,34.0,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218712,整羊,1189,肉禽蛋,1207,羊肉类,27.5,28.5,28.0,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218711,去骨羊前腿,1189,肉禽蛋,1207,羊肉类,36.0,37.0,36.5,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218710,去骨羊后腿,1189,肉禽蛋,1207,羊肉类,36.0,37.0,36.5,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218709,羊腰窝,1189,肉禽蛋,1207,羊肉类,34.0,34.0,34.0,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218708,羊肉片,1189,肉禽蛋,1207,羊肉类,36.0,40.0,38.0,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218707,羊腰子,1189,肉禽蛋,1207,羊肉类,13.0,15.0,14.0,,挂油,个,2021-12-14 00:00:00,,138,,admin,,,
1218706,羊蝎子,1189,肉禽蛋,1207,羊肉类,18.0,20.0,19.0,,普通,斤,2021-12-14 00:00:00,,138,,admin,,,
1218705,羊蝎子,1189,肉禽蛋,1207,羊肉类,28.0,30.0,29.0,,精品,斤,2021-12-14 00:00:00,,138,,admin,,,
1218704,羊排骨,1189,肉禽蛋,1207,羊肉类,27.0,27.0,27.0,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218703,羊尾巴油,1189,肉禽蛋,1207,羊肉类,9.0,9.0,9.0,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218702,羊小腿,1189,肉禽蛋,1207,羊肉类,23.0,24.0,23.5,,羊棒,斤,2021-12-14 00:00:00,,138,,admin,,,
1218701,羊腱子肉,1189,肉禽蛋,1207,羊肉类,36.0,37.0,36.5,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218700,羊上脑,1189,肉禽蛋,1207,羊肉类,35.0,36.0,35.5,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218699,羊骨头,1189,肉禽蛋,1207,羊肉类,10.0,11.0,10.5,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218698,羊腩,1189,肉禽蛋,1207,羊肉类,24.0,25.0,24.5,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218697,羊里脊,1189,肉禽蛋,1207,羊肉类,36.0,36.0,36.0,,,斤,2021-12-14 00:00:00,,138,,admin,,,
